meta_cluster,avg_price,avg_age,cluster_name,description
0,50448378.827096775,7.547096774193548,Nhóm 0 – trung cấp,"Xe trung bình 7.5 năm, giá 50.4 triệu đồng."
1,150698847.48029557,9.248768472906404,Nhóm 1 – cao cấp,"Xe trung bình 9.2 năm, giá 150.7 triệu đồng."
2,28693324.17561859,10.406155703077852,Nhóm 2 – trung cấp,"Xe trung bình 10.4 năm, giá 28.7 triệu đồng."
3,11576199.465268677,13.123197903014416,Nhóm 3 – phổ thông,"Xe trung bình 13.1 năm, giá 11.6 triệu đồng."
4,11437980.531182796,21.780645161290323,Nhóm 4 – phổ thông,"Xe trung bình 21.8 năm, giá 11.4 triệu đồng."
5,54022325.73453094,8.830339321357286,Nhóm 5 – trung cấp,"Xe trung bình 8.8 năm, giá 54.0 triệu đồng."
6,10056162.211267605,12.462776659959758,Nhóm 6 – phổ thông,"Xe trung bình 12.5 năm, giá 10.1 triệu đồng."
7,37858656.7475083,9.46843853820598,Nhóm 7 – trung cấp,"Xe trung bình 9.5 năm, giá 37.9 triệu đồng."
8,21467939.483561642,14.35890410958904,Nhóm 8 – trung cấp,"Xe trung bình 14.4 năm, giá 21.5 triệu đồng."
